2025-07-23 19:09:17 INFO     Loading data...
2025-07-23 19:09:18 INFO     Model: RotatE
2025-07-23 19:09:18 INFO     Data Path: data/FB15k-237
2025-07-23 19:09:18 INFO     Model Parameter Configuration:
2025-07-23 19:09:18 INFO     Parameter gamma: torch.Size([1]), require_grad = False
2025-07-23 19:09:18 INFO     Parameter entity_embedding.weight: torch.Size([14541, 200]), require_grad = True
2025-07-23 19:09:18 INFO     Parameter relation_embedding.weight: torch.Size([237, 100]), require_grad = True
2025-07-23 19:09:19 INFO     Ramdomly Initializing Model...
2025-07-23 19:09:19 INFO     Start Training...
2025-07-23 19:09:19 INFO     init_step = 0
2025-07-23 19:09:19 INFO     batch_size = 64
2025-07-23 19:09:19 INFO     hidden_dim = 100
2025-07-23 19:09:19 INFO     lmbda = 0.000000
2025-07-23 19:09:19 INFO     learning_rate = 0
2025-07-23 19:09:20 INFO     Training average loss at step 1000: 464.663710
2025-07-23 19:09:22 INFO     Training average loss at step 2000: 464.554081
2025-07-23 19:09:23 INFO     Training average loss at step 3000: 464.384867
2025-07-23 19:09:24 INFO     Training average loss at step 4000: 464.531084
2025-07-23 19:09:26 INFO     Training average loss at step 5000: 464.394402
2025-07-23 19:09:27 INFO     Training average loss at step 6000: 464.480620
2025-07-23 19:09:28 INFO     Training average loss at step 7000: 464.231067
2025-07-23 19:09:30 INFO     Training average loss at step 8000: 464.165088
2025-07-23 19:09:31 INFO     Training average loss at step 9000: 464.409371
2025-07-23 19:09:33 INFO     Training average loss at step 10000: 464.172954
2025-07-23 19:09:33 INFO     Evaluating on Valid Dataset...
2025-07-23 19:09:33 INFO     Evaluating the model... (0/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (50/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (100/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (150/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (200/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (250/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (300/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (350/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (400/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (450/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (500/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (550/8768)
2025-07-23 19:09:33 INFO     Evaluating the model... (600/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (650/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (700/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (750/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (800/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (850/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (900/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (950/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1000/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1050/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1100/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1150/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1200/8768)
2025-07-23 19:09:34 INFO     Evaluating the model... (1250/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1300/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1350/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1400/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1450/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1500/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1550/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1600/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1650/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1700/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1750/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1800/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1850/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1900/8768)
2025-07-23 19:09:35 INFO     Evaluating the model... (1950/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2000/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2050/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2100/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2150/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2200/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2250/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2300/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2350/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2400/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2450/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2500/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2550/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2600/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2650/8768)
2025-07-23 19:09:36 INFO     Evaluating the model... (2700/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (2750/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (2800/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (2850/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (2900/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (2950/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3000/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3050/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3100/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3150/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3200/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3250/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3300/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3350/8768)
2025-07-23 19:09:37 INFO     Evaluating the model... (3400/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3450/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3500/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3550/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3600/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3650/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3700/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3750/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3800/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3850/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3900/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (3950/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (4000/8768)
2025-07-23 19:09:38 INFO     Evaluating the model... (4050/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4100/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4150/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4200/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4250/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4300/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4350/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4400/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4450/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4500/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4550/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4600/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4650/8768)
2025-07-23 19:09:39 INFO     Evaluating the model... (4700/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (4750/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (4800/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (4850/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (4900/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (4950/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5000/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5050/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5100/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5150/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5200/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5250/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5300/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5350/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5400/8768)
2025-07-23 19:09:40 INFO     Evaluating the model... (5450/8768)
2025-07-23 19:09:41 INFO     Evaluating the model... (5500/8768)
2025-07-23 19:09:41 INFO     Evaluating the model... (5550/8768)
2025-07-23 19:09:41 INFO     Evaluating the model... (5600/8768)
